X,Y,Z
3.49741,1.55085,27.3803
3.50534,1.53828,27.7141
3.50968,1.52281,28.0404
3.51032,1.50455,28.3546
3.50723,1.48367,28.6516
3.5004,1.4604,28.9271
3.48988,1.43501,29.1768
3.47579,1.40782,29.3971
3.45829,1.3792,29.5848
3.43759,1.34955,29.7374
3.41394,1.31928,29.8532
3.38762,1.28884,29.9312
3.35897,1.25866,29.971
3.32833,1.22916,29.9731
3.29606,1.20077,29.9384
3.26256,1.17386,29.8686
3.2282,1.14879,29.7657
3.19339,1.12586,29.6321
3.15851,1.10533,29.4706
3.12393,1.08741,29.2839
3.09004,1.07225,29.0751
3.05717,1.05997,28.8473
3.02567,1.05063,28.6034
2.99585,1.04423,28.3465
2.96798,1.04075,28.0792
2.94234,1.04012,27.8043
2.91915,1.04223,27.5245
2.89861,1.04697,27.242
2.88089,1.05418,26.9592
2.86612,1.06371,26.6781
2.8544,1.07536,26.4007
2.84582,1.08896,26.129
2.8404,1.10433,25.8647
2.83816,1.12127,25.6094
2.83909,1.13962,25.3647
2.84314,1.15918,25.1322
2.85025,1.1798,24.9133
2.86034,1.20131,24.7095
2.87329,1.22355,24.5221
2.88899,1.24638,24.3525
2.9073,1.26964,24.2021
2.92806,1.29321,24.0721
2.9511,1.31694,23.9639
2.97624,1.34068,23.8787
3.00329,1.3643,23.8177
3.03204,1.38765,23.7821
3.06226,1.41058,23.7728
3.0937,1.43292,23.7909
3.12613,1.45452,23.8373
3.15927,1.47519,23.9125
3.19284,1.49474,24.017
3.22654,1.51298,24.1512
3.26006,1.52972,24.3148
3.29307,1.54473,24.5074
3.32526,1.55782,24.7284
3.35627,1.56876,24.9764
3.38576,1.57735,25.2497
3.41338,1.5834,25.5462
3.4388,1.5867,25.8631
3.46168,1.58711,26.1971
3.48172,1.58449,26.5445
3.49862,1.57872,26.901
3.51213,1.56977,27.2618
3.52201,1.5576,27.6221
3.5281,1.54226,27.9765
3.53026,1.52384,28.3197
