time,X,Y,Z
2.49,-6.08961,-7.93964,23.1528
2.5,-6.28418,-8.1565,23.0182
2.51,-6.48109,-8.38916,22.9165
2.52,-6.68176,-8.63597,22.8487
2.53,-6.88729,-8.8951,22.8163
2.54,-7.09845,-9.16451,22.8205
2.55,-7.31574,-9.44191,22.8627
2.56,-7.53935,-9.72474,22.9442
2.57,-7.76919,-10.0101,23.0662
2.58,-8.00487,-10.2947,23.2296
2.59,-8.2457,-10.575,23.4352
2.6,-8.49068,-10.8471,23.6835
2.61,-8.7385,-11.1064,23.9744
2.62,-8.98753,-11.3483,24.3073
2.63,-9.23581,-11.5678,24.6809
2.64,-9.48107,-11.7596,25.0931
2.65,-9.72071,-11.9184,25.5412
2.66,-9.95184,-12.0389,26.021
2.67,-10.1713,-12.1158,26.5277
2.68,-10.3758,-12.1445,27.0553
2.69,-10.5618,-12.121,27.5966
2.7,-10.7258,-12.042,28.1437
2.71,-10.8642,-11.9055,28.6875
2.72,-10.9738,-11.7108,29.2186
2.73,-11.0513,-11.4587,29.7271
2.74,-11.0941,-11.1517,30.203
2.75,-11.1002,-10.794,30.637
2.76,-11.068,-10.3913,31.02
2.77,-10.9968,-9.95095,31.3446
2.78,-10.8868,-9.4813,31.6043
2.79,-10.739,-8.99165,31.7947
2.8,-10.5552,-8.49173,31.913
2.81,-10.3382,-7.99129,31.9586
2.82,-10.0914,-7.49968,31.9324
2.83,-9.81881,-7.02549,31.8372
2.84,-9.52503,-6.57622,31.6772
2.85,-9.2149,-6.15812,31.4578
2.86,-8.89342,-5.776,31.185
2.87,-8.56556,-5.43328,30.8655
2.88,-8.23613,-5.132,30.506
2.89,-7.90967,-4.87299,30.1132
2.9,-7.5903,-4.65602,29.6935
2.91,-7.2817,-4.48004,29.2529
2.92,-6.98704,-4.34332,28.7968
2.93,-6.709,-4.24372,28.33
2.94,-6.44973,-4.17882,27.8569
2.95,-6.21089,-4.1461,27.3812
2.96,-5.99374,-4.14305,26.9062
2.97,-5.7991,-4.1673,26.4346
2.98,-5.62748,-4.21665,25.9691
2.99,-5.4791,-4.28914,25.5116
3,-5.35395,-4.38306,25.064
3.01,-5.25184,-4.49699,24.6281
3.02,-5.17246,-4.62977,24.2055
