time,angle,x,y
5.1,-0.712215,-0.653512,-0.756916
5.12,-0.625715,-0.585677,-0.810545
5.14,-0.511146,-0.489177,-0.872184
5.16,-0.373135,-0.364536,-0.931189
5.18,-0.217654,-0.215939,-0.976407
5.2,-0.0518233,-0.0518001,-0.998657
5.22,0.116489,0.116226,-0.993223
5.24,0.279232,0.275617,-0.961267
5.26,0.428766,0.415749,-0.90948
5.28,0.558375,0.529809,-0.848117
5.3,0.662594,0.615164,-0.788399
5.32,0.737332,0.672316,-0.740265
5.34,0.77985,0.703173,-0.711019
5.36,0.788669,0.709416,-0.70479
5.38,0.76349,0.691447,-0.722427
5.4,0.705174,0.648166,-0.761499
5.42,0.615795,0.577608,-0.816314
5.44,0.498735,0.478315,-0.878188
5.46,0.358753,0.351107,-0.936336
5.48,0.201943,0.200574,-0.979679
5.5,0.0355219,0.0355144,-0.999369
5.52,-0.132602,-0.132213,-0.991221
5.54,-0.294389,-0.290155,-0.95698
5.56,-0.442271,-0.427993,-0.903782
5.58,-0.569642,-0.53933,-0.842094
5.6,-0.671165,-0.621899,-0.783097
5.62,-0.742885,-0.676416,-0.73652
5.64,-0.782189,-0.704834,-0.709372
5.66,-0.787714,-0.708742,-0.705467
5.68,-0.759273,-0.688394,-0.725337
5.7,-0.697842,-0.642566,-0.766231
5.72,-0.605616,-0.569269,-0.822152
5.74,-0.486109,-0.467189,-0.884157
5.76,-0.344212,-0.337455,-0.941342
5.78,-0.186143,-0.18507,-0.982725
5.8,-0.0192045,-0.0192033,-0.999816
5.82,0.148654,0.148107,-0.988971
5.84,0.309415,0.304501,-0.952512
5.86,0.455583,0.439986,-0.898005
5.88,0.580665,0.54858,-0.836098
5.9,0.679457,0.62837,-0.777914
5.92,0.748134,0.680273,-0.732959
5.94,0.784211,0.706267,-0.707946
5.96,0.78644,0.707843,-0.70637
5.98,0.754747,0.685104,-0.728445
6,0.69022,0.636707,-0.771106
6.02,0.595181,0.560658,-0.828047
6.04,0.473272,0.455801,-0.890082
6.06,0.329519,0.323588,-0.946198
6.08,0.170259,0.169437,-0.985541
6.1,0.00287835,0.00287834,-0.999996
6.12,-0.16464,-0.163897,-0.986477
6.14,-0.324304,-0.318649,-0.947873
6.16,-0.468697,-0.451724,-0.892158
6.18,-0.591441,-0.557558,-0.830138
6.2,-0.687465,-0.63458,-0.772857
6.22,-0.753077,-0.683887,-0.729588
6.24,-0.785915,-0.707472,-0.706741
6.26,-0.784848,-0.706718,-0.707496
6.28,-0.749912,-0.681574,-0.731749
6.3,-0.682312,-0.630589,-0.776117
6.32,-0.584492,-0.551776,-0.833992
6.34,-0.460229,-0.444153,-0.895951
6.36,-0.31468,-0.309512,-0.950895
6.38,-0.154298,-0.153687,-0.98812
6.4,0.0134491,0.0134487,-0.99991
6.42,0.180552,0.179572,-0.983745
6.44,0.339049,0.33259,-0.943071
6.46,0.481607,0.463204,-0.886252
6.48,0.601966,0.566264,-0.824224
6.5,0.695188,0.64053,-0.767934
6.52,0.757713,0.687262,-0.72641
6.54,0.787301,0.708451,-0.70576
6.56,0.782938,0.705365,-0.708844
6.58,0.744771,0.677803,-0.735243
6.6,0.674121,0.624211,-0.781256
6.62,0.573556,0.542622,-0.839977
6.64,0.446986,0.43225,-0.901754
6.66,0.299702,0.295235,-0.955425
6.68,0.138268,0.137828,-0.990456
6.7,-0.0297704,-0.029766,-0.999557
6.72,-0.196383,-0.195123,-0.980779
6.74,-0.353644,-0.346318,-0.938117
6.76,-0.494308,-0.474423,-0.880297
6.78,-0.612236,-0.574699,-0.818365
6.8,-0.702622,-0.646221,-0.76315
6.82,-0.762039,-0.690398,-0.72343
6.84,-0.788369,-0.709204,-0.705003
6.86,-0.780711,-0.703785,-0.710413
6.88,-0.739325,-0.673789,-0.738924
