time,angle,x,y
3.84,0.44825,0.433389,-0.901207
3.86,0.486437,0.467479,-0.884004
3.88,0.52279,0.499299,-0.86643
3.9,0.557183,0.528798,-0.848748
3.92,0.589502,0.555947,-0.831218
3.94,0.619639,0.580741,-0.814088
3.96,0.647497,0.603192,-0.797596
3.98,0.672988,0.623325,-0.781963
4,0.696034,0.641179,-0.767391
4.02,0.716563,0.656797,-0.754068
4.04,0.734515,0.670227,-0.742156
4.06,0.749837,0.681519,-0.7318
4.08,0.762485,0.69072,-0.723122
4.1,0.772422,0.697872,-0.716222
4.12,0.779621,0.70301,-0.71118
4.14,0.784062,0.706161,-0.708051
4.16,0.785731,0.707342,-0.706871
4.18,0.784625,0.70656,-0.707654
4.2,0.780746,0.703809,-0.710389
4.22,0.774105,0.699077,-0.715047
4.24,0.764722,0.692336,-0.721575
4.26,0.752621,0.683554,-0.7299
4.28,0.737839,0.67269,-0.739924
4.3,0.720416,0.659698,-0.751531
4.32,0.700405,0.644528,-0.764581
4.34,0.677865,0.627132,-0.778913
4.36,0.652864,0.607464,-0.794347
4.38,0.625479,0.585486,-0.810682
4.4,0.595797,0.561169,-0.827701
4.42,0.563913,0.534498,-0.84517
4.44,0.529932,0.505474,-0.862842
4.46,0.493967,0.474122,-0.880459
4.48,0.456141,0.440487,-0.897759
4.5,0.416587,0.404642,-0.914475
4.52,0.375446,0.366687,-0.930344
4.54,0.332865,0.326752,-0.94511
4.56,0.289002,0.284996,-0.958529
4.58,0.244021,0.241607,-0.970374
4.6,0.198092,0.196799,-0.980444
4.62,0.151391,0.150813,-0.988562
4.64,0.104097,0.103909,-0.994587
4.66,0.0563964,0.0563665,-0.99841
4.68,0.00847427,0.00847417,-0.999964
4.7,-0.0394811,-0.0394709,-0.999221
4.72,-0.0872816,-0.0871708,-0.996193
4.74,-0.13474,-0.134333,-0.990936
4.76,-0.181671,-0.180674,-0.983543
4.78,-0.227894,-0.225926,-0.974144
4.8,-0.27323,-0.269843,-0.962904
4.82,-0.317506,-0.312199,-0.950017
4.84,-0.360558,-0.352797,-0.9357
4.86,-0.402226,-0.391468,-0.920192
4.88,-0.442357,-0.428071,-0.903745
4.9,-0.480809,-0.462497,-0.886621
4.92,-0.517446,-0.494662,-0.869086
4.94,-0.552141,-0.524512,-0.851403
4.96,-0.584779,-0.552015,-0.833834
4.98,-0.615251,-0.577163,-0.816629
5,-0.643457,-0.599965,-0.800026
5.02,-0.66931,-0.620445,-0.78425
5.04,-0.692727,-0.638638,-0.769507
5.06,-0.713639,-0.654589,-0.755985
5.08,-0.731982,-0.668346,-0.743851
5.1,-0.747703,-0.679956,-0.733253
5.12,-0.760755,-0.689469,-0.724315
5.14,-0.771102,-0.696926,-0.717143
5.16,-0.778714,-0.702365,-0.711817
5.18,-0.783571,-0.705813,-0.708398
5.2,-0.785657,-0.70729,-0.706924
5.22,-0.784968,-0.706803,-0.707411
5.24,-0.781506,-0.704349,-0.709854
5.26,-0.77528,-0.699916,-0.714225
5.28,-0.766307,-0.693479,-0.720477
5.3,-0.754613,-0.685007,-0.728537
5.32,-0.740231,-0.674459,-0.738313
5.34,-0.723203,-0.661789,-0.74969
5.36,-0.703577,-0.64695,-0.762533
5.38,-0.681413,-0.629891,-0.776683
5.4,-0.656778,-0.610568,-0.791964
5.42,-0.629746,-0.58894,-0.808177
5.44,-0.600404,-0.564976,-0.825108
5.46,-0.568844,-0.538659,-0.842524
5.48,-0.535171,-0.509988,-0.860181
5.5,-0.499497,-0.478984,-0.877824
5.52,-0.461943,-0.445688,-0.895188
5.54,-0.42264,-0.41017,-0.912009
5.56,-0.381728,-0.372524,-0.928022
5.58,-0.339354,-0.332878,-0.94297
5.6,-0.295673,-0.291384,-0.956606
5.62,-0.25085,-0.248227,-0.968702
5.64,-0.205052,-0.203618,-0.97905
5.66,-0.158455,-0.157793,-0.987472
5.68,-0.111239,-0.11101,-0.993819
5.7,-0.0635877,-0.0635449,-0.997979
5.72,-0.0156869,-0.0156862,-0.999877
5.74,0.0322755,0.0322699,-0.999479
5.76,0.0801113,0.0800256,-0.996793
5.78,0.127633,0.127287,-0.991866
5.8,0.174655,0.173769,-0.984786
5.82,0.220996,0.219201,-0.97568
5.84,0.266476,0.263333,-0.964705
5.86,0.310923,0.305937,-0.952052
5.88,0.354169,0.346811,-0.937935
5.9,0.396055,0.385782,-0.92259
5.92,0.436427,0.422704,-0.906268
5.94,0.47514,0.457463,-0.889229
5.96,0.512058,0.489972,-0.871738
5.98,0.547053,0.520173,-0.854061
6,0.580007,0.54803,-0.836459
6.02,0.610811,0.573532,-0.819183
6.04,0.639364,0.596685,-0.802475
6.06,0.665576,0.617512,-0.786561
6.08,0.689365,0.636047,-0.77165
6.1,0.710657,0.652332,-0.757933
6.12,0.72939,0.666415,-0.745581
6.14,0.745508,0.678345,-0.734743
6.16,0.758965,0.688171,-0.725549
6.18,0.769721,0.695935,-0.718105
6.2,0.777745,0.701675,-0.712497
6.22,0.783017,0.705421,-0.708788
6.24,0.785521,0.707193,-0.70702
6.26,0.785249,0.707001,-0.707212
6.28,0.782203,0.704844,-0.709362
6.3,0.776392,0.70071,-0.713446
6.32,0.767831,0.694576,-0.719419
6.34,0.756544,0.686412,-0.727213
6.36,0.742564,0.676179,-0.736737
6.38,0.72593,0.663832,-0.747882
6.4,0.706692,0.649322,-0.760514
6.42,0.684906,0.6326,-0.774479
6.44,0.660637,0.61362,-0.789601
6.46,0.633961,0.59234,-0.805688
6.48,0.60496,0.568729,-0.822525
6.5,0.573727,0.542766,-0.839884
6.52,0.540365,0.514449,-0.857521
6.54,0.504984,0.483793,-0.875182
6.56,0.467705,0.450839,-0.892606
6.58,0.428656,0.415649,-0.909525
6.6,0.387977,0.378316,-0.925676
6.62,0.345813,0.338961,-0.9408
6.64,0.302318,0.297734,-0.954649
6.66,0.257656,0.254815,-0.96699
6.68,0.211994,0.210409,-0.977613
6.7,0.165506,0.164751,-0.986335
6.72,0.118371,0.118095,-0.993002
6.74,0.0707735,0.0707144,-0.997497
6.76,0.0228981,0.0228961,-0.999738
6.78,-0.025067,-0.0250644,-0.999686
6.8,-0.0729339,-0.0728692,-0.997342
6.82,-0.120515,-0.120223,-0.992747
6.84,-0.167624,-0.16684,-0.985984
6.86,-0.214078,-0.212447,-0.977173
6.88,-0.259699,-0.25679,-0.966467
6.9,-0.304312,-0.299637,-0.954053
6.92,-0.34775,-0.340783,-0.940142
6.94,-0.38985,-0.38005,-0.924966
6.96,-0.430459,-0.417288,-0.908774
6.98,-0.46943,-0.452378,-0.891826
7,-0.506626,-0.48523,-0.874386
7.02,-0.541919,-0.515781,-0.856721
7.04,-0.575187,-0.543992,-0.839091
7.06,-0.606321,-0.569848,-0.82175
7.08,-0.635218,-0.593353,-0.804942
7.1,-0.661787,-0.614528,-0.788895
7.12,-0.685945,-0.633405,-0.773821
7.14,-0.707618,-0.650025,-0.759913
